n,mu_Thermo,mu_Ham,mu_Ham_Exact,n_TF,mu_TF
2,0.08023652388784086,24.966448487887597,2.0,2,1.9999171312423614
3,0.0802365499106088,24.96645658514884,2.0,3,2.449422081192793
4,0.12035476848325288,37.449667333658326,3.0,4,2.828368528292613
5,0.12035479450617004,37.449675430966025,3.0,5,3.1622252500156365
6,0.12035483353974996,37.44968757667988,3.0,6,3.4640537714990174
7,0.16047300711534263,49.932884323877886,4.0,7,3.741613092215258
8,0.16047304506560067,49.932896132504624,4.0,8,3.999958566264985
9,0.16047306675068285,49.932902880048744,4.0,9,4.242601623041772
10,0.1604731242168782,49.932920761267155,4.0,10,4.472098895578751
11,0.20059123945861757,62.41609935726575,5.0,11,4.690380425065398
12,0.20059129540777576,62.41611676644186,5.0,12,4.898945655121789
13,0.20059131622474524,62.416123243863524,5.0,13,5.098987010361635
14,0.20059134094799447,62.416130936765626,5.0,14,5.291471301239072
15,0.20059142161562704,62.41615603735829,5.0,15,5.477195316203054
16,0.24070946540450677,74.89931240003887,6.0,16,5.65682495149326
17,0.24070954434046143,74.89933696180151,6.0,17,5.830923471615489
18,0.24070956862760795,74.89934451900558,6.0,18,5.999972377589473
19,0.24070958684296784,74.8993501869088,6.0,19,6.164387117292089
20,0.24070961720553896,74.89935963454593,6.0,20,6.324529115423273
21,0.24070972562640236,74.89939337085184,6.0,21,6.480715125033398
22,0.2808276849100366,87.38252343882573,7.0,22,6.633224595310842
23,0.28082779147189285,87.38255659668175,7.0,23,6.782305546924046
24,0.2808278214670281,87.3825659299871,7.0,24,6.928179308580045
25,0.28082783881291107,87.38257132734338,7.0,25,7.071044373488026
26,0.2808278578922909,87.38257726409552,7.0,26,7.211079567709443
27,0.28082789556538046,87.38258898647837,7.0,27,7.348446674763087
28,0.28082803620782215,87.38263274887117,7.0,28,7.483292626366863
29,0.3209458979399642,99.86573246265993,8.0,29,7.61575134388175
30,0.3209460366560961,99.86577562566117,8.0,30,7.745945296207344
31,0.3209460739417409,99.86578722748618,8.0,31,7.87398682573426
32,0.3209460926227621,99.86579304028464,8.0,32,7.99997928321297
33,0.3209461082406051,99.86579789994312,8.0,33,8.12401800415515
34,0.32094612970831804,99.86580457985019,8.0,34,8.246191153001286
35,0.320946176059806,99.86581900260944,8.0,35,8.366580456305709
36,0.3209463533239614,99.86587416023804,8.0,36,8.485261842267256
37,0.3610641044979275,112.34893947267392,9.0,37,8.6023060008254
38,0.3610642797902983,112.34899401676057,9.0,38,8.717778876057633
39,0.36106432575616054,112.34900831952791,9.0,39,8.831742100618465
40,0.36106434697285295,112.34901492132803,9.0,40,8.944253380346327
41,0.36106436182308244,112.34901954213456,9.0,41,9.05536683585136
42,0.3610643776191864,112.34902445726084,9.0,42,9.165133306823021
43,0.36106440241564997,112.34903217294413,9.0,43,9.273600623912843
44,0.361064458709734,112.34904968944784,9.0,44,9.380813852317756
45,0.36106467697391054,112.34911760466957,9.0,45,9.48681551058292
46,0.40118230461666826,124.83214447905448,10.0,46,9.591645767637413
47,0.401182520785369,124.83221174224718,10.0,47,9.695342620652283
48,0.4011825767229311,124.83222914781481,10.0,48,9.797942055954234
49,0.401182601286564,124.83223679105095,10.0,49,9.89947819492708
50,0.401182616740698,124.83224159976953,10.0,50,9.9999834265781
51,0.4011826303394628,124.83224583116953,10.0,51,10.099488528229372
52,0.40118264727061614,124.83225109947762,10.0,52,10.198022775608841
53,0.40118267609068425,124.83226006714904,10.0,53,10.295614043457375
54,0.40118274350243155,124.8322810430318,10.0,54,10.392288897631586
55,0.40118300715403166,124.83236308103369,10.0,55,10.488072679564947
56,0.44130049816158134,137.3153474399196,11.0,56,10.582989583848072
57,0.4413007597759133,137.31542884400278,11.0,57,10.677062729601092
58,0.44130082668561954,137.31544966367073,11.0,58,10.770314226234849
59,0.44130085538199637,137.31545859285416,11.0,59,10.862765234130617
60,0.4413008721166989,137.3154638000351,11.0,60,10.954436020710368
61,0.44130088509700727,137.31546783899557,11.0,61,11.045346012318339
62,0.44130089864484034,137.31547205454808,11.0,62,11.13551384229016
63,0.44130091738770716,137.315477886591,11.0,63,11.224957395546616
64,0.44130095072614495,137.31548826020116,11.0,64,11.31369385001365
65,0.4413010305725038,137.31551310524446,11.0,65,11.401739715141574
66,0.44130134375882335,137.31561055650218,11.0,66,11.489110867766774
67,0.4814186851581326,149.7985483631919,12.0,67,11.575822585537354
68,0.4814189967873972,149.79864532995362,12.0,68,11.661889578101686
69,0.48141907568788156,149.79866988067988,12.0,69,11.747326016240253
70,0.48141910902631935,149.79868025429005,12.0,70,11.832145559104516
71,0.4814191276091151,149.7986860365245,12.0,71,11.91636137970969
72,0.4814191407785984,149.79869013434927,12.0,72,11.999986188818582
73,0.4814191529439995,149.79869391974262,12.0,73,12.083032257336576
74,0.48141916704480536,149.7986983073597,12.0,74,12.165511437331217
75,0.4814191879122518,149.79870480048703,12.0,75,12.247435181777318
76,0.481419226503931,149.79871680869928,12.0,76,12.328814563121497
77,0.4814193196943961,149.7987458059033,12.0,77,12.409660290750777
78,0.48141968678100966,149.79886002881176,12.0,78,12.489982727443488
79,0.5215368658537045,162.28174732584648,13.0,79,12.569791904874029
80,0.5215372315142304,162.28186110501156,13.0,80,12.649097538237122
81,0.5215373237733729,162.28188981242602,12.999999999883585,81,12.72790904005196
82,0.521537362219533,162.28190177535726,13.000000000116415,82,12.806235533201654
83,0.5215373829996679,162.2819082413189,13.0,83,12.88408586325924
84,0.5215373968239874,162.2819125429014,13.0,84,12.96146861014739
85,0.5215374085819349,162.281916201513,13.0,85,13.038392099175269
86,0.5215374206018168,162.28191994162626,13.0,86,13.114864411492633
87,0.5215374354447704,162.2819245601695,13.0,87,13.190893393998609
88,0.5215374591352884,162.28193193172774,13.0,88,13.266486668739875
89,0.5215375032566953,162.2819456605721,13.0,89,13.34165164182593
90,0.5215376107080374,162.28197909520168,13.0,90,13.416395511903959
91,0.5215380369336344,162.28211171983094,13.0,91,13.490725278198969
92,0.5616550398990512,174.76494421921416,14.0,92,13.564647748167703
93,0.5616554637963418,174.76507611936722,14.0,93,13.638169544767974
94,0.5616555708984379,174.76510944532674,14.0,94,13.711297113396553
95,0.561655614641495,174.76512305644246,14.0,95,13.78403672847097
96,0.5616556383902207,174.76513044611056,14.0,96,13.856394499718773
97,0.5616556533495896,174.76513510087898,14.0,97,13.928376378162127
98,0.5616556647873949,174.76513865987363,14.0,98,13.999988161846305
99,0.5616556757304352,174.7651420649181,14.0,99,14.071235501257048
100,0.5616556880122516,174.7651458865348,14.0,100,14.142123904556794
101,0.561655704426812,174.7651509940988,14.0,101,14.212658742537819
102,0.5616557309404016,174.76515924408523,14.0,102,14.282845253373742
103,0.5616557809407823,174.7651748022363,14.0,103,14.35268854716205
104,0.5616559041081928,174.76521312708792,14.0,104,14.422193610260425
105,0.5616563932853751,174.76536533977378,14.0,105,14.491365309446747
106,0.6017732074251398,187.24813908404576,15.0,106,14.5602083958931
107,0.6017736942740157,187.2482905722536,15.0,107,14.628727508974805
108,0.6017738165101036,187.24832860731294,15.0,108,14.696927179918811
109,0.6017738671507686,187.2483443646961,15.0,109,14.764811835300728
110,0.601773893344216,187.24835251506556,15.0,110,14.832385800397606
111,0.6017739094095305,187.2483575139613,15.0,111,14.899653302403937
112,0.6017739217495546,187.24836135368787,15.0,112,14.966618473517547
113,0.6017739319941029,187.2483645413904,15.0,113,15.033285353901745
114,0.6017739424132742,187.24836778342615,15.0,114,15.099657894529818
115,0.6017739559174515,187.24837198539353,15.0,115,15.16573995991744
116,0.6017739740200341,187.24837761820527,15.0,116,15.231535330748397
117,0.6017740025999956,187.24838651116443,15.0,117,15.297047706398667
118,0.6017740599345416,187.2484043514196,15.0,118,15.362280707363627
119,0.6017741996911354,187.24844783817025,15.0,119,15.427237877592885
120,0.6017747560981661,187.24862097014193,15.0,120,15.491922686737002
121,0.6418913686065935,199.7313319746736,16.0,121,15.556338532310122
122,0.6418919225689024,199.73150434594208,16.0,122,15.620488741772348
123,0.6418920616270043,199.7315476153526,16.0,123,15.68437657453546
124,0.6418921179720201,199.73156514770199,16.0,124,15.748005223895396
125,0.6418921478325501,199.73157443912532,16.0,125,15.811377818894742
126,0.6418921664007939,199.73158021683048,16.0,126,15.874497426118305
127,0.6418921783915721,199.7315839478906,16.0,127,15.93736705142467
128,0.6418921887525357,199.73158717181286,16.0,128,15.999989641616542
129,0.6418921987060457,199.7315902689552,16.0,129,16.062368086052466
130,0.641892209649086,199.73159367399785,16.0,130,16.12450521820241
131,0.6418922236771323,199.73159803897215,16.0,131,16.186403817149646
132,0.6418922435259447,199.7316042151433,16.0,132,16.248066609041107
133,0.6418922755983658,199.73161419481767,16.0,133,16.30949626848839
134,0.6418923398596235,199.73163419039338,16.0,134,16.37069541992144
135,0.6418924969038926,199.73168305639047,16.0,135,16.431666638896882
136,0.6418931260704994,199.7318788282755,16.0,136,16.492412453362807
137,0.6820095233852044,212.21452287298962,17.0,137,16.552935344881778
138,0.682010147778783,212.21471715969892,17.0,138,16.613237749813734
139,0.6820103062782437,212.2147664784934,17.0,139,16.673322060460443
140,0.6820103685022332,212.2147858401513,17.0,140,16.73319062617278
141,0.6820104020298459,212.21479627262306,17.0,141,16.79284575442282
142,0.6820104228099808,212.21480273858106,17.0,142,16.852289711841454
143,0.6820104356156662,212.2148067232083,17.0,143,16.911524725223234
144,0.6820104456273839,212.21480983846413,17.0,144,16.970552982499907
145,0.6820104551734403,212.21481280881926,17.0,145,17.029376633683235
146,0.6820104650687426,212.21481588784445,17.0,146,17.087997791778783
147,0.6820104772923514,212.21481969135493,17.0,147,17.14641853367159
148,0.682010491960682,212.2148242555595,17.0,148,17.204640900984728
149,0.6820105130318552,212.21483081208135,17.0,149,17.262666900911828
150,0.682010548771359,212.21484193280776,17.0,150,17.320498507022002
151,0.6820106205996126,212.2148642829343,17.0,151,17.378137660055426
152,0.6820107968524098,212.21491912586498,17.0,152,17.43558626865861
153,0.6820115023292601,212.21513864249937,17.0,153,17.492846210146496
154,0.7221276711206883,224.69771157976356,18.0,154,17.54991933120596
155,0.7221283719409257,224.69792964744192,18.0,155,17.60680744859319
156,0.7221285490086302,224.69798474393974,18.0,156,17.663512349808478
157,0.7221286192070693,224.69800658693566,18.0,157,17.72003579375157
158,0.7221286558778957,224.69801799744891,18.0,158,17.776379511358233
159,0.7221286785788834,224.698025061105,18.0,159,17.832545206218786
160,0.7221286916173995,224.69802911817897,18.0,160,17.8885345551791
161,0.7221287036081776,224.6980328492391,18.0,161,17.944349208924706
162,0.72212871350348,224.6980359282643,18.0,162,17.99999079254866
163,0.7221287217689678,224.69803850015887,18.0,163,18.055460906103633
164,0.7221287321299314,224.69804172408476,18.0,164,18.11076112513874
165,0.722128743538633,224.69804527402084,18.0,165,18.165893001221736
166,0.7221287586726248,224.6980499831261,18.0,166,18.22085806244692
167,0.722128783352673,224.6980576625865,18.0,167,18.275657813929346
168,0.7221288247965276,224.69807055827914,18.0,168,18.330293738285718
169,0.7221289026783779,224.69809479204923,18.0,169,18.384767296102407
170,0.7221290990710258,224.6981559017113,18.0,170,18.439079926391027
171,0.7221298827789724,224.6983997607822,18.0,171,18.493233047032003
172,0.7622458126861602,237.1808983666706,19.0,172,18.54722805520644
173,0.762246593949385,237.18114146504013,19.0,173,18.601066327816714
174,0.7622467905748636,237.18120264715253,19.0,174,18.654749221896196
175,0.762246870668605,237.18122756917,19.0,175,18.708278075008312
176,0.7622469087364152,237.18123941437807,19.0,176,18.761654205635402
177,0.7622469333000481,237.18124705761147,19.0,177,18.814878913557656
178,0.7622469491325319,237.18125198405687,19.0,178,18.8679534802224
179,0.7622469608904794,237.18125564266666,19.0,179,18.92087916910408
180,0.7622469710186124,237.18125879414583,19.0,180,18.973657226055202
181,0.7622469795169309,237.18126143848713,19.0,181,19.026288879648515
182,0.7622469883644953,237.18126419149849,19.0,182,19.078775341510703
183,0.762246998376213,237.1812673067543,19.0,183,19.131117806647804
184,0.7622470105998218,237.1812711102575,19.0,184,19.1833174537627
185,0.7622470272472128,237.18127629027367,19.0,185,19.235375445564785
186,0.7622470540227368,237.18128462176173,19.0,186,19.28729292907215
187,0.7622470980277285,237.18129831438273,19.0,187,19.339071035906475
188,0.762247187551111,237.1813261705356,19.0,188,19.390710882580777
189,0.7622474033851177,237.18139332958526,19.0,189,19.442213570780375
190,0.7622482716105878,237.18166348718296,19.0,190,19.493580187637072
191,0.8023639479652047,249.66408319749098,20.0,191,19.544811805996925
192,0.8023648116504773,249.664351942356,20.0,192,19.595909484681663
193,0.8023650313261896,249.66442029679456,20.0,193,19.64687426874404
194,0.8023651195690036,249.66444775448326,20.0,194,19.6977071897172
195,0.8023651640396565,249.66446159200132,20.0,195,19.748409265858268
196,0.8023651890689507,249.66446938013542,20.0,196,19.798981502386347
197,0.8023652046686038,249.66447423413047,20.0,197,19.849424891715042
198,0.8023652182891965,249.66447847232484,20.0,198,19.899740413679687
199,0.8023652283009142,249.66448158757703,20.0,199,19.949929035759414
200,0.8023652373813093,249.6644844130351,20.0,200,19.999991713294204
201,0.8023652459960431,249.66448709360702,20.0,201,20.049929389697027
202,0.8023652548436075,249.66448984661838,20.0,202,20.09974299666134
203,0.802365263691172,249.66449259962974,20.0,203,20.149433454363837
204,0.8023652778938413,249.66449701894453,20.0,204,20.199001671662803
205,0.8023652960546315,249.66450266986794,20.0,205,20.24844854629205
206,0.8023653249256313,249.66451165338367,20.0,206,20.297774965050646
207,0.8023653738200665,249.66452686741104,20.0,207,20.346981803988438
208,0.8023654709104449,249.6645570781111,20.0,208,20.396069928587632
209,0.8023657104931772,249.66463162683067,20.0,209,20.445040193940358
210,0.8023666676599532,249.66492945946084,20.0,210,20.49389344492248
211,0.8424820729997009,262.1472648406125,21.0,211,20.54263051636369
212,0.8424830324947834,262.147563397717,21.0,212,20.591252233213908
213,0.8424832704477012,262.14763743930234,21.0,213,20.639759410706237
214,0.8424833682365716,262.1476678673498,21.0,214,20.68815285451644
215,0.8424834171310067,262.1476830813772,21.0,215,20.736433360919055
216,0.8424834415782243,262.1476906883836,21.0,216,20.784601716940276
217,0.8424834636971354,262.1476975709229,21.0,217,20.832658701181376
218,0.8424834767356515,262.1477016279896,21.0,218,20.8806050805966
219,0.8424834862817079,262.14770459835563,20.999999999068677,219,20.928441617374112
220,0.842483495362103,262.1477074238064,21.000000000931323,220,20.976169062339213
221,0.8424835011828691,262.14770923501055,21.0,221,21.023788158460807
222,0.8424835111945868,262.14771235025546,21.0,222,21.071299640312578
223,0.8424835214391351,262.14771553796163,21.0,223,21.118704234205214
224,0.8424835291225463,262.14771792873216,21.0,224,21.166002658315946
225,0.8424835484474897,262.1477239418964,21.0,225,21.21319562281548
226,0.8424835638143122,262.14772872344474,21.0,226,21.260283829992446
227,0.8424835940822959,262.147738141648,21.0,227,21.30726797437528
228,0.8424836529884487,262.14775647092756,21.0,228,21.354148742851795
229,0.8424837531056255,262.1477876234567,21.0,229,21.400926814786303
230,0.8424840229563415,262.14787159037223,21.0,230,21.4476028621345
231,0.8424850646406412,262.14819572153647,21.0,231,21.494177549556078
232,0.88260019547306,274.630445686802,22.0,232,21.540651534525157
233,0.8826012518256903,274.6307743821744,22.0,233,21.587025467438576
234,0.8826015056110919,274.63085335019423,22.0,234,21.63329999172208
235,0.8826016189996153,274.630888632244,22.0,235,21.679475743934457
236,0.8826016667298973,274.63090348403057,22.0,236,21.72555335386979
237,0.8826016965322196,274.6309127573404,22.0,237,21.771533444657575
238,0.8826017228420824,274.63092094393505,22.0,238,21.81741663286109
239,0.8826017326209694,274.6309239867405,22.0,239,21.863203528573848
240,0.8826017456594855,274.6309280438145,22.0,240,21.90889473551426
241,0.8826017528772354,274.6309302896916,22.0,241,21.954490851118436
242,0.8826017582323402,274.63093195598776,22.0,242,21.999992466631483
243,0.8826017680112273,274.63093499879324,22.0,243,22.045400167196917
244,0.8826017775572836,274.630937969152,22.0,244,22.090714531944098
245,0.882601787801832,274.6309411568509,22.0,245,22.135936134074985
246,0.8826017992105335,274.6309447067906,22.0,246,22.181065540948367
247,0.882601811317727,274.63094847407046,22.0,247,22.226103314162998
248,0.8826018332038075,274.63095528416306,22.0,248,22.271050009639143
249,0.8826018669642508,274.63096578908153,22.0,249,22.315906177698636
250,0.8826019286643714,274.6309849877289,22.0,250,22.360672363143475
251,0.8826020404230803,274.63101976263715,22.0,251,22.40534910533314
252,0.8826023328583688,274.631110757,22.0,252,22.449936938259928
253,0.882603473495692,274.63146567843796,22.0,253,22.49443639062429
254,0.9227183116599917,287.1136245769085,23.0,254,22.538847985907555
255,0.9227194641716778,287.11398319318687,23.0,255,22.583172242443023
256,0.9227197442669421,287.11407034781587,23.0,256,22.627409673487797
257,0.9227198648732156,287.1141078757355,23.0,257,22.671560787291394
258,0.9227199163287878,287.11412388669123,23.0,258,22.715626087164058
259,0.9227199540473521,287.1141356232183,23.0,259,22.759606071543672
260,0.9227199784945697,287.114143230232,23.0,260,22.80350123406166
261,0.9227199913002551,287.114147214852,23.0,261,22.84731206360722
262,0.9227200034074485,287.1141509821391,23.0,262,22.89103904439158
263,0.9227200087625533,287.11415264843527,23.0,263,22.934682656009358
264,0.9227200183086097,287.11415561879403,23.0,264,22.978243373501225
265,0.9227200278546661,287.1141585891528,23.0,265,23.021721667413434
266,0.9227200339082628,287.1141604727891,23.0,266,23.065118003857112
267,0.9227200434543192,287.1141634431551,23.0,267,23.108432844566806
268,0.922720052767545,287.1141663410526,23.0,268,23.15166664695771
269,0.922720062546432,287.1141693838654,23.0,269,23.194819864182058
270,0.9227200814057142,287.1141752521289,23.0,270,23.23789294518448
271,0.9227201002649963,287.11418112039973,23.0,271,23.28088633475657
272,0.9227201440371573,287.1141947405631,23.0,272,23.323800473590392
273,0.9227202048059553,287.1142136494309,23.0,273,23.366635798331252
274,0.9227203242480755,287.114250815117,23.0,274,23.409392741629492
275,0.9227206502109766,287.114352241937,23.0,275,23.452071732191502
276,0.9227218837477267,287.11473607003427,23.0,276,23.494673194829854
277,0.9628364248201251,299.5968025251932,24.0,277,23.537197550512612
278,0.9628376718610525,299.59719055525784,24.0,278,23.579645216411908
279,0.9628379810601473,299.597286765842,24.0,279,23.62201660595169
280,0.9628381142392755,299.5973282059422,24.0,280,23.66431212885466
281,0.9628381682559848,299.59734501382627,24.0,281,23.70653219118853
282,0.9628382069058716,299.5973570401402,24.0,282,23.748677195411503
283,0.9628382325172424,299.5973650093947,24.0,283,23.790747540417023
284,0.9628382502123713,299.5973705154247,24.0,284,23.832743621577805
285,0.9628382613882422,299.59737399291043,24.0,285,23.874665830789265
286,0.9628382688388228,299.59737631124153,24.0,286,23.916514556512116
287,0.9628382762894034,299.59737862956536,24.0,287,23.95829018381437
288,0.9628382860682905,299.5973816723781,24.0,288,23.99999309441269
289,0.9628382911905646,299.5973832662203,24.0,289,24.041623666713118
290,0.9628382995724678,299.5973858743455,24.0,290,24.083182275850927
291,0.9628383130766451,299.5973900763056,24.0,291,24.12466929373044
292,0.9628383168019354,299.5973912354748,24.0,292,24.166085089063568
293,0.9628383237868547,299.5973934089052,24.0,293,24.207430027407113
294,0.962838351726532,299.5974021026341,24.0,294,24.248704471204533
295,0.9628383740782738,299.5974090576201,24.0,295,24.289908779816663
296,0.9628384122624993,299.5974209390406,24.0,296,24.331043309562663
297,0.9628384788520634,299.59744165909797,24.0,297,24.37210841375472
298,0.9628386180847883,299.5974849828417,24.0,298,24.413104442733477
299,0.962838969193399,299.59759423402284,24.0,299,24.45403174390294
300,0.9628403009846807,299.5980086350537,24.0,300,24.494890661764803
