tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N4,Energy_H_N4,Energy_T_N8,Energy_H_N8,Energy_T_N0,Energy_H_N0
0.1875,941811491.6986084,942846196.7065783,942615177.9223022,942874074.9133087,942816465.6930542,942881203.7621402,942883594.4490356,942883594.4490356
0.3125,939932507.4418945,942800953.8147031,942105955.6729736,942824725.4755806,942651801.2224121,942831597.78484,942833971.1826172,942833971.1826172
0.4375,937195933.1867676,942801719.4082218,941405411.3562012,942813152.6024306,942466911.0627441,942819243.2057043,942821565.1433105,942821565.1433105
0.5625,933595309.869873,942826415.8390453,940485270.635498,942810078.5859828,942232118.2548828,942814399.7610674,942816602.597168,942816602.597168
0.6875,929155899.7050781,942880004.1807024,939342561.9467773,942811203.6092395,941942583.6298828,942812144.2730345,942814121.4179688,942814121.4179688
0.8125,923912730.5410156,942972941.9010537,937978328.7080078,942815924.4584856,941597051.4091797,942811116.2108777,942812703.6904297,942812703.6904297
0.9375,917907137.7324219,943118210.2409418,936394964.4487305,942824678.4075001,941195171.3007812,942810839.8916525,942811817.4672852,942811817.4672852
1.0625,911185289.3574219,943330375.859411,934595595.1835938,942838335.8759784,940736929.9550781,942811156.1266252,942811226.6850586,942811226.6850586
1.1875,903797093.6103516,943625066.119304,932583894.7998047,942858027.6740335,940222454.9433594,942812026.3715404,942810813.3515625,942810813.3515625
1.3125,895795178.5537109,944018527.3991927,930363987.2714844,942885060.2202979,939651963.5839844,942813481.8025249,942810512.5351562,942810512.5351562
1.4375,887233965.9033203,944527272.5394112,927940404.1835938,942920887.3932229,939025725.6591797,942815586.2615484,942810286.9775391,942810286.9775391
1.5625,878168762.0683594,945167721.5767486,925318043.6523438,942967084.7071141,938344052.2753906,942818425.3884287,942810113.4765625,942810113.4765625
1.6875,868654962.9882812,945955923.439753,922502136.1748047,943025331.2819651,937607297.1123047,942822108.2054052,942809977.2431641,942809977.2431641
1.8125,858747293.6630859,946907263.630207,919498219.0029297,943097401.198409,936815846.1396484,942826757.1397359,942809868.2216797,942809868.2216797
1.9375,848499211.359375,948036289.2544386,916312104.4414062,943185149.2524471,935970104.9736328,942832495.6511203,942809779.6386719,942809779.6386719
2.0625,837962328.4707031,949356490.5440181,912949832.3095703,943290480.7283058,935070524.7666016,942839474.66796,942809706.7441406,942809706.7441406
2.1875,827185997.8515625,950880193.0869342,909417678.3798828,943415379.0639452,934117573.7558594,942847844.3540872,942809645.9921875,942809645.9921875
2.3125,816216958.8378906,952618450.1280603,905722093.4394531,943561862.2968328,933111748.6464844,942857765.9796832,942809595.1542969,942809595.1542969
2.4375,805099092.4277344,954580991.7908428,901869648.4667969,943731945.0768435,932053569.4238281,942869407.1244329,942809551.7011719,942809551.7011719
2.5625,793873258.7734375,956776206.5271177,897867103.8300781,943927730.0977284,930943584.9414062,942882947.7823372,942809514.5566406,942809514.5566406
2.6875,782577207.3945312,959211149.8350205,893721256.875,944151267.9822348,929782369.7597656,942898577.6583693,942809482.7988281,942809482.7988281
2.8125,771245497.7714844,961891510.0990303,889439005.1386719,944404641.900324,928570506.7226562,942916478.9830427,942809455.046875,942809455.046875
2.9375,759909632.8007812,964821788.4229646,885027271.1113281,944689906.6668983,927308621.8867188,942936862.439604,942809430.9335938,942809430.9335938
3.0625,748598027.8007812,968005237.8532319,880493001.7792969,945009105.8220243,925997351.1855469,942959933.8896828,942809410.0214844,942809410.0214844
3.1875,737336151.3574219,971443979.6875796,875843126.3144531,945364243.610104,924637319.7832031,942985873.7745675,942809391.3496094,942809391.3496094
3.3125,726146678.0566406,975139111.9752322,871084568.1308594,945757314.4650753,923229249.0273438,943014946.6631303,942809374.9863281,942809374.9863281
3.4375,715049614.4726562,979090762.3949932,866224167.8964844,946190235.6420552,921773811.9023438,943047354.5430648,942809360.3808594,942809360.3808594
3.5625,704062463.4238281,983298174.3203149,861268696.5449219,946664875.5938249,920271707.8574219,943083313.5308592,942809347.9375,942809347.9375
3.6875,693200449.1679688,987759868.5470822,856224868.2558594,947183082.5624586,918723686.0234375,943123078.3501555,942809336.4003906,942809336.4003906
3.8125,682476609.6464844,992473614.589669,851099240.2128906,947746587.4062551,917130469.2128906,943166865.0559474,942809326.1210938,942809326.1210938
3.9375,671902018.8164062,997436578.4700093,845898292.8769531,948357104.0472605,915492832.7460938,943214932.4559419,942809317.3359375,942809317.3359375
4.0625,661485979.2246094,1002645435.0624969,840628335.7851562,949016236.1358731,913811518.3574219,943267494.1955879,942809309.5664062,942809309.5664062
4.1875,651236141.2832031,1008096375.4409544,835295543.765625,949725527.1629605,912087349.0996094,943324837.7326367,942809302.1191406,942809302.1191406
4.3125,641158687.4667969,1013785214.6920679,829905942.7382812,950486454.0107713,910321093.4824219,943387184.8373246,942809295.7382812,942809295.7382812
4.4375,631258469.9960938,1019707438.1662976,824465369.2265625,951300388.9491916,908513563.0371094,943454792.828904,942809290.2578125,942809290.2578125
4.5625,621539174.0625,1025858297.4242022,818979501.3085938,952168642.0090786,906665587.1875,943527929.3667772,942809285.015625,942809285.015625
4.6875,612003417.0820312,1032232814.1873077,813453813.5917969,953092415.3207353,904777983.8085938,943606842.4429576,942809280.5351562,942809280.5351562
4.8125,602652881.6113281,1038825847.3185502,807893613.6875,954072850.6123407,902851542.3867188,943691743.1527928,942809276.5898438,942809276.5898438
4.9375,593488424.0507812,1045632131.8756014,802304035.4921875,955111026.6270367,900887204.3671875,943782994.7911959,942809272.9414062,942809272.9414062
5.0625,584510209.7929688,1052646377.5727137,796689947.6054688,956207853.6796716,898885715.6484375,943880750.2887069,942809269.9257812,942809269.9257812
